run_id,run_at,protocol,code,build_id,slice,hypothesis,n_raw,n_declustered,hit_rate,base_rate,edge,expectancy,p,survived
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+ma_50_rising,1314,1068,0.49625468164794007,0.43363549045503663,0.06261919119290343,0.002987866547972153,0.001999000499750125,True
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+market_up,1713,1366,0.4816983894582723,0.4315566044964828,0.050141784961789504,0.002714469624826327,0.009995002498750625,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+rvol_high,267,242,0.48760330578512395,0.4323737099402499,0.05522959584487408,0.00635709423410135,0.10194902548725637,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+volume_dry,550,481,0.46361746361746364,0.4325326910641198,0.031084772553343853,0.0014677408244391798,0.2128935532233883,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+at_resistance,874,696,0.47126436781609193,0.43316091681298347,0.03810345100310847,0.003196249111210895,0.07796101949025487,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+at_support,475,386,0.4792746113989637,0.43316091681298347,0.04611369458598025,0.003729283652835402,0.11094452773613193,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+breadth_positive,761,640,0.4875,0.43324282339373543,0.05425717660626456,0.004133985005865965,0.020989505247376312,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+ma_50_rising,1102,888,0.5045045045045045,0.43363549045503663,0.07086901404946783,0.0043519125611381874,0.0009995002498750624,True
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+market_up,1059,852,0.49178403755868544,0.43310347137611527,0.05868056618257017,0.003454473834660543,0.010994502748625687,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+rvol_high,176,157,0.535031847133758,0.4329108446168058,0.10212100251695216,0.011109610888912217,0.012993503248375811,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+above_ma_50+volume_dry,261,225,0.48444444444444446,0.4329108446168058,0.051533599827638665,0.005526086312510585,0.15592203898050974,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_resistance+at_support,675,534,0.449438202247191,0.43316091681298347,0.016277285434207533,0.0015753120710283012,0.4657671164417791,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_resistance+breadth_positive,612,522,0.4674329501915709,0.43349408350078145,0.03393886669078944,0.002562876031060318,0.21189405297351324,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_resistance+ma_50_rising,738,598,0.4899665551839465,0.43316091681298347,0.05680563837096303,0.0036048624365354566,0.01199400299850075,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_resistance+market_up,821,664,0.463855421686747,0.4333671945544211,0.030488227132325907,0.0017591353767513406,0.19390304847576212,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_resistance+rvol_high,142,128,0.484375,0.43316091681298347,0.051214083187016535,0.0045894846824694685,0.24087956021989004,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_resistance+volume_dry,223,193,0.47150259067357514,0.43316091681298347,0.038341673860591674,0.0033929090195143168,0.32983508245877063,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_support+breadth_positive,458,389,0.43444730077120824,0.43349408350078145,0.0009532172704267983,0.0021319777939996605,0.9815092453773113,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_support+ma_50_rising,458,384,0.4921875,0.43316091681298347,0.059026583187016535,0.0017625442593550231,0.07496251874062969,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_support+market_up,636,528,0.4356060606060606,0.4333671945544211,0.002238866051639532,0.0013771615163715287,0.9145427286356822,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_support+rvol_high,93,85,0.4588235294117647,0.43316091681298347,0.02566261259878122,0.004204590135052446,0.5817091454272864,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+at_support+volume_dry,262,228,0.4956140350877193,0.43316091681298347,0.06245311827473582,0.005615269512910239,0.09295352323838081,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+breadth_positive+ma_50_rising,623,530,0.5094339622641509,0.43397147446991685,0.07546248779423409,0.003972166965249077,0.001999000499750125,True
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+breadth_positive+market_up,982,812,0.49507389162561577,0.43188094385420395,0.06319294777141182,0.0044635278086095935,0.005997001499250375,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+breadth_positive+rvol_high,146,135,0.5407407407407407,0.43266022757132505,0.10808051316941569,0.010975294656005885,0.01699150424787606,False
discover-2026-09-24T07:38:18+00:00,2026-09-24T07:38:18+00:00,0106fab4dc2f35a2,ca09aadca6c719d7,5,discover,k3:higher_lows+breadth_positive+volume_dry,204,181,0.430939226519337,0.43281736471831156,-0.0018781381989745327,-9.823212087946249e-05,0.9515242378810594,False
