batch,run_id,run_at,protocol,code,build_id,slice,hypothesis,n_raw,n_declustered,hit_rate,base_rate,edge,expectancy,p,survived,gross,net_expectancy
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+above_ma_50+stage_2_advancing,174,142,0.5211267605633803,0.4896329154091808,0.03149384515419945,0.006112121347770374,0.42478760619690153,False,0.006112121347770374,0.0020937004936604493
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+at_resistance+stage_2_advancing,30,30,0.5333333333333333,0.4896329154091808,0.043700417924152524,0.006414819495318206,0.6306846576711644,False,0.006414819495318206,0.0023951896620867607
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+at_support+stage_2_advancing,15,14,0.6428571428571429,0.4896329154091808,0.1532242274479621,0.012394579060296174,1.0,False,0.012394579060296174,0.008351066013624977
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+breadth_positive+stage_2_advancing,98,80,0.55,0.4891695235429931,0.060830476457006954,0.009745187742524405,0.30484757621189407,False,0.009745187742524405,0.0057122563885852115
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+ma_50_rising+stage_2_advancing,154,126,0.5,0.4896329154091808,0.010367084590819198,0.004546457884788579,0.7746126936531734,False,0.004546457884788579,0.0005342903046196706
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+market_up+stage_2_advancing,130,110,0.509090909090909,0.49007212847033205,0.01901878062057699,0.0032364862343212727,0.655672163918041,False,0.0032364862343212727,-0.0007704493073035819
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+rvol_high+stage_2_advancing,80,71,0.5070422535211268,0.4896329154091808,0.01740933811194595,-0.0008296441715704389,0.7346326836581709,False,-0.0008296441715704389,-0.0048203395518138
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+stage_2_advancing+volume_dry,8,8,0.75,0.4896329154091808,0.2603670845908192,0.03408449914051241,1.0,False,0.03408449914051241,0.029954356358123962
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+stage_3_topping,65,52,0.6153846153846154,0.4896329154091808,0.12575169997543462,0.01335054082245108,0.18590704647676162,False,0.01335054082245108,0.009303209655911093
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+above_ma_50+stage_3_topping,21,17,0.7058823529411765,0.4896329154091808,0.21624943753199571,0.024644220543065948,1.0,False,0.024644220543065948,0.02055178231823094
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+at_resistance+stage_3_topping,11,11,0.7272727272727273,0.4896329154091808,0.2376398118635465,0.02349641305437303,1.0,False,0.02349641305437303,0.019408559182962633
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+at_support+stage_3_topping,12,10,0.8,0.4896329154091808,0.31036708459081924,0.04653874204562665,1.0,False,0.04653874204562665,0.042358856905154826
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+breadth_positive+stage_3_topping,38,29,0.7586206896551724,0.4891695235429931,0.2694511661121793,0.0324219902146398,1.0,False,0.0324219902146398,0.02829848750784144
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+ma_50_rising+stage_3_topping,30,24,0.625,0.4896329154091808,0.1353670845908192,0.032146775157857396,1.0,False,0.032146775157857396,0.028024371662469055
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+market_up+stage_3_topping,38,32,0.5625,0.49007212847033205,0.07242787152966795,0.0021342824536340656,0.36481759120439783,False,0.0021342824536340656,-0.0018682508761857439
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+rvol_high+stage_3_topping,23,22,0.6818181818181818,0.4896329154091808,0.19218526640900097,0.016983339597167926,1.0,False,0.016983339597167926,0.0129214989996755
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+stage_3_topping+volume_dry,3,3,0.3333333333333333,0.4896329154091808,-0.1562995820758475,-0.013145293779368758,1.0,False,-0.013145293779368758,-0.017086800344403685
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+stage_4_declining,22,16,0.6875,0.4896329154091808,0.1978670845908192,0.0004342136085770526,1.0,False,0.0004342136085770526,-0.0035615296309978797
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+above_ma_50+stage_4_declining,0,0,,0.4896329154091808,,,1.0,False,,
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+at_resistance+stage_4_declining,3,3,0.6666666666666666,0.4896329154091808,0.17703375125748583,-0.03087979611786995,1.0,False,-0.03087979611786995,-0.03475047092119347
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+at_support+stage_4_declining,4,4,0.5,0.4896329154091808,0.010367084590819198,-0.029293930791008338,1.0,False,-0.029293930791008338,-0.03317093955469877
structural_1,structural_1:discover-2026-09-25T04:48:07+00:00,2026-09-25T04:48:07+00:00,1ff6d6de2472c886,2c2a2755dfb063bf,5,discover,k5:three_white_soldiers+breadth_positive+stage_4_declining,6,6,0.5,0.4891695235429931,0.01083047645700691,-0.02056718987136763,1.0,False,-0.02056718987136763,-0.024479053316714145
