run_at,neighbours,build_id,symbol,day,fired,found,pool_before
2026-09-24T08:05:39+00:00,fbc042f4080bf942,5,TNH,2026-09-21,marubozu_red|three_black_crows|,50,2024-01-01
2026-09-24T08:06:10+00:00,fbc042f4080bf942,5,FPT,2026-09-18,marubozu_red|bearish_engulfing|,50,2024-01-01
2026-09-24T08:06:38+00:00,fbc042f4080bf942,5,ACB,2026-09-21,hammer_shape|bullish_harami|,50,2024-01-01
2026-09-24T08:07:26+00:00,fbc042f4080bf942,5,TNH,2026-09-21,marubozu_red|three_black_crows|,50,2024-01-01
2026-09-24T08:07:54+00:00,fbc042f4080bf942,5,FPT,2026-09-18,marubozu_red|bearish_engulfing|,50,2024-01-01
2026-09-24T08:08:28+00:00,fbc042f4080bf942,5,ACB,2026-09-21,hammer_shape|bullish_harami|,50,2024-01-01
