complements_1:validate-2026-09-24T14:46:54+00:00 | BATCH complements_1 (hash e29e367cba78c47f) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3864 (hypotheses ever tested: 5418)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
  [N=3864] k3:marubozu_red+ma_50_rising+not_at_support: 4631 de-cl. (n 5310) hit 55.6% vs base 50.8% edge +4.8% gross +0.90% (net +0.50% info) p 0.0010 | discover +4.0% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+at_resistance+not_breadth_positive: 813 de-cl. (n 1436) hit 56.0% vs base 51.3% edge +4.7% gross +0.27% (net -0.13% info) p 0.1789 | discover +4.2% -> HELD | walk-forward 8/12 years positive
  [N=3864] k3:tight_range+at_resistance+not_market_up: 1021 de-cl. (n 1911) hit 55.2% vs base 50.8% edge +4.5% gross +0.55% (net +0.15% info) p 0.2079 | discover +5.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:inside_day_run+above_ma_50+not_at_resistance: 1246 de-cl. (n 1375) hit 55.2% vs base 50.8% edge +4.4% gross +1.14% (net +0.74% info) p 0.0090 | discover +4.3% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:tight_range+above_ma_50+not_breadth_positive: 777 de-cl. (n 1521) hit 56.6% vs base 52.2% edge +4.4% gross +1.01% (net +0.61% info) p 0.1879 | discover +6.8% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:breakout+not_at_support+volume_dry: 78 de-cl. (n 102) hit 55.1% vs base 50.8% edge +4.4% gross +2.01% (net +1.60% info) p 0.4488 | discover +15.6% -> HELD | walk-forward 8/12 years positive
  [N=3864] k3:marubozu_red+ma_50_rising+not_at_resistance: 4289 de-cl. (n 4947) hit 55.1% vs base 50.8% edge +4.3% gross +0.72% (net +0.31% info) p 0.0060 | discover +3.6% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:breakout+not_rvol_high+volume_dry: 104 de-cl. (n 139) hit 54.8% vs base 50.6% edge +4.2% gross +1.91% (net +1.50% info) p 0.3898 | discover +14.8% -> HELD | walk-forward 8/12 years positive
  [N=3864] k5:tight_range+at_resistance+not_market_up: 934 de-cl. (n 1904) hit 55.7% vs base 51.5% edge +4.2% gross +0.72% (net +0.32% info) p 0.3448 | discover +6.4% -> HELD | walk-forward 9/12 years positive
  [N=3864] k3:three_black_crows+not_ma_50_rising+not_volume_dry: 419 de-cl. (n 503) hit 54.9% vs base 50.8% edge +4.1% gross +0.71% (net +0.31% info) p 0.3508 | discover +9.5% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:inside_day_run+above_ma_50+not_at_support: 1664 de-cl. (n 1926) hit 55.6% vs base 51.5% edge +4.1% gross +1.66% (net +1.25% info) p 0.0120 | discover +3.1% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:marubozu_red+ma_50_rising+not_volume_dry: 5455 de-cl. (n 6393) hit 54.9% vs base 50.8% edge +4.1% gross +0.70% (net +0.30% info) p 0.0040 | discover +3.5% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+ma_50_rising+not_rvol_high: 3675 de-cl. (n 8889) hit 54.9% vs base 50.8% edge +4.1% gross +0.81% (net +0.41% info) p 0.0070 | discover +5.4% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:dark_cloud_cover+not_market_up+rvol_high: 85 de-cl. (n 85) hit 55.3% vs base 51.3% edge +4.0% gross +0.10% (net -0.30% info) p 0.5137 | discover -25.2% -> failed | walk-forward 5/12 years positive
  [N=3864] k3:three_inside_down+not_ma_50_rising+volume_dry: 42 de-cl. (n 42) hit 54.8% vs base 50.8% edge +4.0% gross +1.42% (net +1.02% info) p 0.6527 | discover +21.9% -> HELD | walk-forward 8/12 years positive
  [N=3864] k3:inside_day_run+above_ma_50+not_breadth_positive: 616 de-cl. (n 684) hit 55.2% vs base 51.2% edge +4.0% gross +0.71% (net +0.31% info) p 0.1919 | discover +6.4% -> HELD | walk-forward 9/12 years positive
  [N=3864] k5:higher_lows+at_resistance+not_volume_dry: 871 de-cl. (n 1124) hit 55.3% vs base 51.5% edge +3.9% gross +0.89% (net +0.49% info) p 0.0450 | discover +6.2% -> HELD | walk-forward 10/12 years positive
  [N=3864] k5:higher_lows+breadth_positive+not_at_support: 799 de-cl. (n 973) hit 56.2% vs base 52.4% edge +3.8% gross +1.28% (net +0.88% info) p 0.1379 | discover +10.1% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:higher_lows+breadth_positive+not_volume_dry: 1193 de-cl. (n 1464) hit 54.9% vs base 51.1% edge +3.8% gross +0.90% (net +0.50% info) p 0.0960 | discover +6.0% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+above_ma_50+not_rvol_high: 3238 de-cl. (n 7241) hit 54.5% vs base 50.7% edge +3.8% gross +0.85% (net +0.45% info) p 0.0140 | discover +6.2% -> HELD | walk-forward 12/12 years positive
  [N=3864] k3:tight_range+at_resistance+not_volume_dry: 2773 de-cl. (n 5535) hit 54.6% vs base 50.8% edge +3.8% gross +0.65% (net +0.24% info) p 0.0200 | discover +4.7% -> HELD | walk-forward 12/12 years positive
  [N=3864] k3:bearish_harami+ma_50_rising+not_breadth_positive: 1479 de-cl. (n 1593) hit 55.0% vs base 51.3% edge +3.7% gross +0.54% (net +0.14% info) p 0.3348 | discover +4.0% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:inside_day_run+above_ma_50+not_rvol_high: 2357 de-cl. (n 2635) hit 54.4% vs base 50.7% edge +3.7% gross +1.01% (net +0.61% info) p 0.0070 | discover +3.8% -> HELD | walk-forward 11/12 years positive
  [N=3864] k5:inverted_hammer_shape+not_breadth_positive+not_market_up: 2249 de-cl. (n 2818) hit 55.8% vs base 52.1% edge +3.7% gross +0.76% (net +0.36% info) p 0.3378 | discover +5.2% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:tight_range+ma_50_rising+not_at_support: 2491 de-cl. (n 5373) hit 54.4% vs base 50.8% edge +3.7% gross +0.86% (net +0.46% info) p 0.0240 | discover +4.9% -> HELD | walk-forward 10/12 years positive
  [N=3864] k3:tight_range+ma_50_rising+not_volume_dry: 2913 de-cl. (n 6408) hit 54.4% vs base 50.8% edge +3.6% gross +0.78% (net +0.37% info) p 0.0130 | discover +4.9% -> HELD | walk-forward 11/12 years positive
  [N=3864] k3:higher_lows+not_rvol_high: 2278 de-cl. (n 2826) hit 54.1% vs base 50.6% edge +3.6% gross +0.56% (net +0.16% info) p 0.0450 | discover +3.8% -> HELD | walk-forward 11/12 years positive
