structural_1:validate-2026-09-25T04:52:03+00:00 | BATCH structural_1 (hash 1ff6d6de2472c886) | validate ('2020-01-01', '2023-12-31') | purged before 2024-01-01 | batch N = 3024 (hypotheses ever tested: 4578)
CANDIDATE GENERATION, NOT CONFIRMATION: these slices were already looked at by the registered run; a survivor is at best a paper-trading candidate
hit = GROSS return > 0 (fee out of scope); net at the provisional cost is information only | NET PROVISIONAL; liquid on t; two-sided; date-block bootstrap (10 sessions x 2000)
run here: 295 | testable (>= 30 de-clustered): 295 | suspicious: 0
discover survivors run: 295 | HELD (same sign, gross exp > 0): 260 | PAPER-TRADING CANDIDATES (held, edge > 0): 236
  [N=3024] k3:inside_day_run+ma_50_rising+rs_20_strong: 1410 de-cl. (n 1586) hit 55.9% vs base 50.8% edge +5.1% gross +1.32% (net +0.92% info) p 0.0070 | discover +4.2% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+above_ma_50+rs_60_strong: 2490 de-cl. (n 5692) hit 55.8% vs base 50.8% edge +5.0% gross +0.99% (net +0.58% info) p 0.0040 | discover +6.4% -> HELD | walk-forward 12/12 years positive
  [N=3024] k5:tight_range+above_ma_50+rs_60_strong: 2137 de-cl. (n 5625) hit 56.5% vs base 51.5% edge +5.0% gross +1.48% (net +1.08% info) p 0.0100 | discover +6.1% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:tight_range+above_ma_50+rs_120_strong: 1875 de-cl. (n 4308) hit 55.8% vs base 50.8% edge +4.9% gross +0.82% (net +0.42% info) p 0.0040 | discover +6.3% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:tight_range+market_up+rs_60_strong: 2690 de-cl. (n 6155) hit 55.7% vs base 50.8% edge +4.9% gross +1.08% (net +0.67% info) p 0.0060 | discover +4.3% -> HELD | walk-forward 12/12 years positive
  [N=3024] k3:tight_range+ma_50_rising+rs_60_strong: 2936 de-cl. (n 7044) hit 55.7% vs base 50.8% edge +4.9% gross +0.88% (net +0.47% info) p 0.0040 | discover +5.7% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:marubozu_red+ma_50_rising+rs_20_strong: 3237 de-cl. (n 3665) hit 55.6% vs base 50.8% edge +4.9% gross +0.90% (net +0.50% info) p 0.0020 | discover +3.6% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:marubozu_red+at_resistance+rs_120_strong: 1537 de-cl. (n 1669) hit 55.7% vs base 50.8% edge +4.8% gross +0.81% (net +0.41% info) p 0.0160 | discover +3.5% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:higher_lows+at_resistance+resists_down_days: 764 de-cl. (n 969) hit 55.6% vs base 50.8% edge +4.8% gross +0.86% (net +0.45% info) p 0.0190 | discover +6.3% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:inside_day_run+above_ma_50+rs_120_strong: 1372 de-cl. (n 1535) hit 55.7% vs base 50.8% edge +4.8% gross +1.16% (net +0.76% info) p 0.0050 | discover +5.1% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+at_support+rs_120_strong: 1741 de-cl. (n 3776) hit 55.7% vs base 50.8% edge +4.8% gross +0.78% (net +0.38% info) p 0.0140 | discover +4.6% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:higher_lows+breadth_positive+stage_2_advancing: 292 de-cl. (n 363) hit 56.8% vs base 52.1% edge +4.8% gross +1.67% (net +1.26% info) p 0.1809 | discover +10.6% -> HELD | walk-forward 8/12 years positive
  [N=3024] k3:inside_day_run+above_ma_50+rs_20_strong: 1607 de-cl. (n 1807) hit 55.4% vs base 50.7% edge +4.8% gross +1.29% (net +0.89% info) p 0.0040 | discover +3.7% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:marubozu_red+ma_50_rising+rs_60_strong: 4646 de-cl. (n 5452) hit 55.5% vs base 50.8% edge +4.8% gross +0.85% (net +0.44% info) p 0.0020 | discover +4.4% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:inside_day_run+market_up+stage_2_advancing: 794 de-cl. (n 875) hit 55.3% vs base 50.6% edge +4.7% gross +1.46% (net +1.05% info) p 0.0520 | discover +5.8% -> HELD | walk-forward 10/12 years positive
  [N=3024] k5:inverted_hammer_shape+at_resistance+stage_3_topping: 402 de-cl. (n 455) hit 55.7% vs base 51.1% edge +4.7% gross +0.88% (net +0.47% info) p 0.0920 | discover +5.9% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:inside_day_run+above_ma_50+resists_down_days: 1729 de-cl. (n 1948) hit 55.3% vs base 50.7% edge +4.7% gross +1.13% (net +0.72% info) p 0.0020 | discover +4.5% -> HELD | walk-forward 11/12 years positive
  [N=3024] k5:higher_lows+market_up+rs_20_strong: 760 de-cl. (n 915) hit 55.9% vs base 51.3% edge +4.7% gross +1.26% (net +0.86% info) p 0.0740 | discover +7.5% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:marubozu_red+above_ma_50+rs_120_strong: 2863 de-cl. (n 3199) hit 55.5% vs base 50.8% edge +4.6% gross +0.97% (net +0.57% info) p 0.0040 | discover +5.1% -> HELD | walk-forward 10/12 years positive
  [N=3024] k3:tight_range+ma_50_rising+rs_120_strong: 2222 de-cl. (n 5414) hit 55.4% vs base 50.8% edge +4.6% gross +0.74% (net +0.34% info) p 0.0080 | discover +5.7% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:higher_lows+above_ma_50+resists_down_days: 950 de-cl. (n 1204) hit 55.3% vs base 50.7% edge +4.6% gross +0.79% (net +0.39% info) p 0.0310 | discover +6.9% -> HELD | walk-forward 11/12 years positive
  [N=3024] k3:marubozu_red+ma_50_rising+rs_120_strong: 3680 de-cl. (n 4338) hit 55.4% vs base 50.8% edge +4.5% gross +0.83% (net +0.43% info) p 0.0020 | discover +5.4% -> HELD | walk-forward 12/12 years positive
